Jurisdiction,FacilityID,ObsRecordDate,FlowCondition,PersistentFlow,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,OCFSLocation,MaintenanceIssue,FlowConnectivity,PointY,PointX,Date
Mission Viejo,J07-9109-4 (J07P02),6/30/2022,Flowing,Yes,Priority,54,NA,0.024,NA,Below Average Discharge,Not present,"Brown ""tea"" tint",Insects,Abundant (>50 Items),In flow path of outfall,,,,Partial - Significant Distance,33.64644918,-117.6557973,2022-06-30
Mission Viejo,J07-9109-4 (J07P02),8/9/2022,Flowing,Yes,Priority,54,NA,NA,0.004,Below Average Discharge,,,,,,,,,,33.64644918,-117.6557973,2022-08-09
Mission Viejo,J07-9109-4 (J07P02),8/9/2022,Flowing,Yes,Priority,54,2808,0.119205,NA,Below Average Discharge,Not present,"Brown ""tea"" tint",Volumetric: 500 mL/5 sec,Moderate (11-50 Items),In flow path of outfall,,,,Partial - Significant Distance,33.64644918,-117.6557973,2022-08-09
Mission Viejo,J07-9110-1,6/21/2022,Flowing,Yes,Not A Priority,NA,NA,NA,0.001,Below Average Discharge,,,,,,,,,,33.63470136,-117.6635397,2022-06-21
Mission Viejo,J07-9110-1,6/21/2022,Flowing,Yes,Not A Priority,NA,1011,0.004711,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,Partial - Significant Distance,33.63470136,-117.6635397,2022-06-21
Mission Viejo,J07-9110-2,6/21/2022,Flowing,Yes,Priority,45,NA,0.002,0.002,Below Average Discharge,,,,,,,,,,33.6360887,-117.6622521,2022-06-21
Mission Viejo,J07-9110-2,6/21/2022,Flowing,Yes,Priority,45,1582.801,0.002264,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),,,,,Direct Connection,33.6360887,-117.6622521,2022-06-21
Mission Viejo,J07-9110-2,6/30/2022,Flowing,Yes,Priority,45,NA,5.86e-4,NA,Below Average Discharge,Not present,Clear,"Ponded under sensor, trickle flow",Not Present (0 Items),,,,,Direct Connection,33.6360887,-117.6622521,2022-06-30
Mission Viejo,J07-9110-2,6/30/2022,Flowing,Yes,Priority,45,NA,0.001,0,Below Average Discharge,,,SWN meter inspected,,,,,,,33.6360887,-117.6622521,2022-06-30
Mission Viejo,J07-9110-2,8/9/2022,Pooled or Ponded,Yes,Priority,45,NA,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.6360887,-117.6622521,2022-08-09
Mission Viejo,J07-9110-3,6/21/2022,Pooled or Ponded,Unknown,Priority,43,NA,NA,NA,20% Or More Above Average Discharge,,,,,,,,,,33.63962029,-117.6592759,2022-06-21
Mission Viejo,J07-9110-3,6/21/2022,Pooled or Ponded,Unknown,Priority,43,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.63962029,-117.6592759,2022-06-21
Mission Viejo,J07-9110-3,6/30/2022,Dry,Unknown,Priority,43,NA,NA,NA,20% Or More Above Average Discharge,,,SWN meter inspected,,,,,,,33.63962029,-117.6592759,2022-06-30
Mission Viejo,J07-9110-3,6/30/2022,Dry,Unknown,Priority,43,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,"Evidence of recent flows, ponded behind leaf clutter but technically dry",Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.63962029,-117.6592759,2022-06-30
Mission Viejo,J07-9110-3,8/9/2022,Flowing,Unknown,Priority,43,NA,NA,0.002,20% Or More Above Average Discharge,,,,,,,,,,33.63962029,-117.6592759,2022-08-09
Mission Viejo,J07-9110-3,8/9/2022,Flowing,Unknown,Priority,43,2185,0.051546,NA,20% Or More Above Average Discharge,Not present,Not present,volumetric: 250 mL/5.15 sec,Sparse (<10 Items),In flow path of outfall,,,,Direct Connection,33.63962029,-117.6592759,2022-08-09
Mission Viejo,L02-366-1 (MVL02P14),6/17/2022,Flowing,Yes,Not A Priority,NA,NA,0.025,0.016,Below Average Discharge,,,,,,,,,,33.57029493,-117.651036,2022-06-17
Mission Viejo,L02-366-1 (MVL02P14),6/17/2022,Flowing,Yes,Not A Priority,NA,1753,0.0245,NA,Below Average Discharge,Not present,Odor,"Anoxic odor, cloudy water, mud",Abundant (>50 Items),In flow path of outfall,,,Graffiti,Undetermined,33.57029493,-117.651036,2022-06-17
Mission Viejo,L02-366-1 (MVL02P14),9/1/2022,Flowing,Yes,Not A Priority,NA,NA,NA,0.009,Below Average Discharge,,,,,,,,,,33.57029493,-117.651036,2022-09-01
Mission Viejo,L02-366-1 (MVL02P14),9/1/2022,Flowing,Yes,Not A Priority,NA,2088,0.016667,NA,Below Average Discharge,Not present,Not present,2.5L/10sec,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,Partial - Significant Distance,33.57029493,-117.651036,2022-09-01
Mission Viejo,L03-074-1 (L03B01),6/22/2022,Flowing,Yes,Priority,71,NA,NA,NA,Below Average Discharge,Not present,Yellow tint,Graffiti inside tunnel,Sparse (<10 Items),Within area surrounding outfall,,Yes,Graffiti,Direct Connection,33.63832178,-117.6388447,2022-06-22
Mission Viejo,L03-074-1 (L03B01),8/9/2022,Flowing,Yes,Priority,71,NA,0.024,0.018,Below Average Discharge,,,Back track flow and slanted angle of discharge,,,,Yes,,,33.63832178,-117.6388447,2022-08-09
Mission Viejo,L03-074-1 (L03B01),8/9/2022,Flowing,Yes,Priority,71,3292,0.024,NA,Below Average Discharge,Not present,Clear,Back track flow in outfall. Floamy water from discharge.,Sparse (<10 Items),In flow path of outfall,,Yes,None,Direct Connection,33.63832178,-117.6388447,2022-08-09
Mission Viejo,L03-074-2,6/22/2022,Flowing,Yes,Priority,36,NA,NA,NA,Below Average Discharge,Not present,Yellow tint,"Leaf litter, semi-clogged",Sparse (<10 Items),Within area surrounding outfall,,,Other - See Comments,,33.63947149,-117.6417634,2022-06-22
Mission Viejo,L03-074-2,8/9/2022,Flowing,Yes,Priority,36,1999,0.00848,NA,Below Average Discharge,Not present,Clear,Mud like sediment blocking right side of out fall. May be reducing flow of discharge. Strings of algae may also be reducing flow of discharge.,Sparse (<10 Items),Within area surrounding outfall,,,Sediment,,33.63947149,-117.6417634,2022-08-09
Mission Viejo,L03-141-1,6/22/2022,Pooled or Ponded,Yes,Priority,66,NA,NA,NA,20% Or More Above Average Discharge,Yellow tint,Not present,Fence is broken,Sparse (<10 Items),Within area surrounding outfall,,,Graffiti,Direct Connection,33.65655719,-117.6343922,2022-06-22
Mission Viejo,L03-141-1,8/9/2022,Pooled or Ponded,Yes,Priority,66,NA,NA,NA,20% Or More Above Average Discharge,Clear,Not present,Fence pole is broken,Sparse (<10 Items),Within area surrounding outfall,,,Damaged,Direct Connection,33.65655719,-117.6343922,2022-08-09
Mission Viejo,L03-141-2,6/22/2022,Pooled or Ponded,Yes,Priority,43,NA,NA,NA,Below Average Discharge,Yellow tint,Not present,Fence pole is broken.,Sparse (<10 Items),Within area surrounding outfall,,,Other - See Comments,Direct Connection,33.6565667,-117.6343942,2022-06-22
Mission Viejo,L03-141-2,8/9/2022,Pooled or Ponded,Yes,Priority,43,NA,NA,NA,Below Average Discharge,Clear,Not present,Fence pole is broken.,Sparse (<10 Items),Within area surrounding outfall,,,Damaged,Direct Connection,33.6565667,-117.6343942,2022-08-09
Mission Viejo,L03-141-3,6/22/2022,Pooled or Ponded,Yes,Priority,57,NA,NA,NA,Below Average Discharge,Yellow tint,Not present,Fence pole is broken,Sparse (<10 Items),Within area surrounding outfall,,,Other - See Comments,Direct Connection,33.65655533,-117.6343784,2022-06-22
Mission Viejo,L03-141-3,8/9/2022,Pooled or Ponded,Yes,Priority,57,NA,NA,NA,Below Average Discharge,Clear,Not present,Fence pole is broken.,Sparse (<10 Items),Within area surrounding outfall,,,Damaged,Direct Connection,33.65655533,-117.6343784,2022-08-09
Mission Viejo,L03-172-2,6/22/2022,Flowing,Yes,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Yellow tint,Cracks in cement structure,Moderate (11-50 Items),Within area surrounding outfall,,,Other - See Comments,,33.65145815,-117.6388453,2022-06-22
Mission Viejo,L03-172-2,8/9/2022,Flowing,Yes,Not A Priority,NA,NA,0.010783,NA,Below Average Discharge,Not present,Yellow tint,Trash/debris sediment may be reducing flow of discharge.,Sparse (<10 Items),In flow path of outfall,,,Sediment,,33.65145815,-117.6388453,2022-08-09
Mission Viejo,L03-172-2,8/9/2022,Flowing,Yes,Not A Priority,NA,NA,0.011,NA,Below Average Discharge,,,"Flow velocity is too shallow to do left, right, center for leaf velocity and depth. Volumetric measurement is not possible.",,,,,,,33.65145815,-117.6388453,2022-08-09
Mission Viejo,L03-172-3,6/22/2022,Pooled or Ponded,Yes,,NA,NA,NA,NA,,Yellow tint,Not present,Plastic bottles in the flow of outfall,Moderate (11-50 Items),In flow path of outfall,,,Other - See Comments,,33.65111943,-117.6375105,2022-06-22
Mission Viejo,L03-172-3,8/9/2022,Pooled or Ponded,Yes,,NA,NA,NA,NA,,"Brown ""tea"" tint",Not present,,Sparse (<10 Items),Within area surrounding outfall,,,None,,33.65111943,-117.6375105,2022-08-09
Mission Viejo,L03-214-2 (L03P18),6/14/2022,Flowing,Yes,Priority,75,NA,NA,0.153,Below Average Discharge,,,,,,Yes,Yes,,,33.6237248,-117.6423151,2022-06-14
Mission Viejo,L03-214-2 (L03P18),6/14/2022,Flowing,Yes,Priority,75,3395,0.418,NA,Below Average Discharge,Not present,Not present,Trub: 3.46,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,None,Direct Connection,33.6237248,-117.6423151,2022-06-14
Mission Viejo,L03-214-2 (L03P18),8/23/2022,Flowing,Yes,Priority,75,NA,NA,0.059,Below Average Discharge,,,,,,Yes,Yes,,,33.6237248,-117.6423151,2022-08-23
Mission Viejo,L03-214-2 (L03P18),8/23/2022,Flowing,Yes,Priority,75,4323.6,0.471074,NA,Below Average Discharge,Not present,Not present,"9000 mL/5.40 seconds, sediment and leaf litter",Sparse (<10 Items),In flow path of outfall,Yes,Yes,,Direct Connection,33.6237248,-117.6423151,2022-08-23
Mission Viejo,L03-240-1,6/22/2022,Flowing,Yes,Priority,46,NA,0.0108,NA,Below Average Discharge,Not present,Clear,Hole in fence around outfall,Moderate (11-50 Items),Within area surrounding outfall,,,Graffiti,Direct Connection,33.61519068,-117.637077,2022-06-22
Mission Viejo,L03-240-1,8/9/2022,Flowing,Yes,Priority,46,NA,0.019,0.016,Below Average Discharge,,,,,,,,,,33.61519068,-117.637077,2022-08-09
Mission Viejo,L03-240-1,8/9/2022,Flowing,Yes,Priority,46,12646,0.019048,NA,Below Average Discharge,Clear,Not present,Strings of algae hanging from outfall,Moderate (11-50 Items),Within area surrounding outfall,,,None,Direct Connection,33.61519068,-117.637077,2022-08-09
Mission Viejo,L03-241-3,8/9/2022,Flowing,Unknown,Not A Priority,NA,2784,0.418065,NA,Equal,Not present,Yellow tint,Volumetric measurement: 12 L in 5 sec. Large cracks along the walls of outfall structure.,Not Present (0 Items),,,,Other - See Comments,Direct Connection,33.60617913,-117.6479066,2022-08-09
Mission Viejo,L03-241-4 (L03P14),6/22/2022,Flowing,Yes,Priority,45,NA,NA,NA,20% Or More Above Average Discharge,Not present,Clear,,Sparse (<10 Items),Within area surrounding outfall,,,None,Direct Connection,33.60923197,-117.6441123,2022-06-22
Mission Viejo,L03-241-4 (L03P14),8/9/2022,Flowing,Yes,Priority,45,4488,0.021091,NA,20% Or More Above Average Discharge,Not present,Clear,Volumetric measurement: 0.75 L in 5 sec. Receiving water goes into drain. Sediment has created ponded water overtime.,Sparse (<10 Items),Within area surrounding outfall,,,Other - See Comments,Direct Connection,33.60923197,-117.6441123,2022-08-09
Mission Viejo,L03-316-1,8/2/2022,Flowing,Yes,Priority,59,1928,0.010313,NA,20% Or More Above Average Discharge,Not present,Not present,"Feces and toilet paper near outfall, ants",Sparse (<10 Items),Within area surrounding outfall,,,Graffiti,Direct Connection,33.59093498,-117.6596681,2022-08-02
Mission Viejo,L03-316-1,9/1/2022,Flowing,Yes,Priority,59,NA,NA,0.028,20% Or More Above Average Discharge,,,,,,,,,,33.59093498,-117.6596681,2022-09-01
Mission Viejo,L03-316-1,9/1/2022,Flowing,Yes,Priority,59,1070,0.08,NA,20% Or More Above Average Discharge,Not present,Not present,"Fecal matter and toilet paper next to outfall, 3.9L/5sec",Sparse (<10 Items),Within area surrounding outfall,,,Graffiti,Direct Connection,33.59093498,-117.6596681,2022-09-01
Mission Viejo,L03-316-2,6/22/2022,Flowing,Yes,Priority,34,NA,NA,NA,Below Average Discharge,,Not present,Ducks and minnows dwell in RW near outfall.,Sparse (<10 Items),Within area surrounding outfall,,,Graffiti,Direct Connection,33.59093104,-117.6594575,2022-06-22
Mission Viejo,L03-316-2,8/2/2022,Flowing,Yes,Priority,34,NA,NA,0.002,Below Average Discharge,,,,,,,,,,33.59093104,-117.6594575,2022-08-02
Mission Viejo,L03-316-2,8/2/2022,Flowing,Yes,Priority,34,1654,0.010309,NA,Below Average Discharge,Not present,Not present,"Foam in creek, volumetric flow: 275 mL/5 seconds",Sparse (<10 Items),In flow path of outfall,,,,Partial - Significant Distance,33.59093104,-117.6594575,2022-08-02
Mission Viejo,L03-316-2,9/1/2022,Flowing,Yes,Priority,34,NA,NA,NA,Below Average Discharge,,,,,,,,,,33.59093104,-117.6594575,2022-09-01
Mission Viejo,L03-316-2,9/1/2022,Flowing,Yes,Priority,34,2868,0.0096,NA,Below Average Discharge,Not present,Not present,"Foamy substance at outfall opening, .5L/10sec",Not Present (0 Items),,,,Graffiti,Partial - Significant Distance,33.59093104,-117.6594575,2022-09-01
Mission Viejo,L03-316-3 (L03P12),6/14/2022,Flowing,Yes,Priority,77,NA,NA,0.071,20% Or More Above Average Discharge,,,,,,Yes,Yes,,,33.59602196,-117.6559023,2022-06-14
Mission Viejo,L03-316-3 (L03P12),6/14/2022,Flowing,Yes,Priority,77,4833,0.126,NA,20% Or More Above Average Discharge,Green tint,Not present,Turb 1.52 NTU.  Limb in outfall,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,Graffiti,Direct Connection,33.59602196,-117.6559023,2022-06-14
Mission Viejo,L03-316-3 (L03P12),8/23/2022,Flowing,Yes,Priority,77,NA,NA,0.026,20% Or More Above Average Discharge,,,,,,Yes,Yes,,,33.59602196,-117.6559023,2022-08-23
Mission Viejo,L03-316-3 (L03P12),8/23/2022,Flowing,Yes,Priority,77,4039.3,0.477876,NA,20% Or More Above Average Discharge,Not present,Not present,"Turbidity at approximately 10:35 was 33.8, second reading taken approximately 5 mins later was 26.6, volumetric: 2500 ml/3.36 seconds",Sparse (<10 Items),In flow path of outfall,Yes,Yes,Graffiti,Direct Connection,33.59602196,-117.6559023,2022-08-23
Mission Viejo,L03-316-4,6/22/2022,Flowing,Yes,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Yellow tint,Cigarettes around outfall,Moderate (11-50 Items),Within area surrounding outfall,,,Other - See Comments,Direct Connection,33.59616259,-117.6560801,2022-06-22
Mission Viejo,L03-316-4,9/1/2022,Flowing,Yes,Priority,43,NA,NA,0,Below Average Discharge,,,,,,,,,,33.59616259,-117.6560801,2022-09-01
Mission Viejo,L03-316-4,9/1/2022,Flowing,Yes,Priority,43,1970,0.002769,NA,Below Average Discharge,Not present,Not present,.25L / 30sec,Moderate (11-50 Items),In flow path of outfall,,,,Partial - Significant Distance,33.59616259,-117.6560801,2022-09-01
Mission Viejo,L03-662-3 (L03P16),6/14/2022,Flowing,Yes,Priority,82,NA,NA,NA,20% Or More Above Average Discharge,,,,,,Yes,,,,33.62464864,-117.6482508,2022-06-14
Mission Viejo,L03-662-3 (L03P16),6/14/2022,Flowing,Yes,Priority,82,2584,0.066,NA,20% Or More Above Average Discharge,Not present,Not present,Turb 2.23,Not Present (0 Items),,Yes,,None,Partial - Significant Distance,33.62464864,-117.6482508,2022-06-14
Mission Viejo,L03-662-3 (L03P16),8/23/2022,Flowing,Yes,Priority,82,NA,NA,0.028,20% Or More Above Average Discharge,,,,,,Yes,,,,33.62464864,-117.6482508,2022-08-23
Mission Viejo,L03-662-3 (L03P16),8/23/2022,Flowing,Yes,Priority,82,3390.4,0.198473,NA,20% Or More Above Average Discharge,Not present,Clear,Yellow tint when collected in bucket,Sparse (<10 Items),In flow path of outfall,Yes,,None,Partial - Significant Distance,33.62464864,-117.6482508,2022-08-23
Mission Viejo,L03-691-1 (L03P09),7/6/2022,Pooled or Ponded,Yes,Priority,39,NA,NA,NA,Below Average Discharge,,,,,,,,,,33.58531041,-117.6620071,2022-07-06
Mission Viejo,L03-691-1 (L03P09),7/6/2022,Pooled or Ponded,Yes,Priority,39,5280,0.3,NA,Below Average Discharge,Yellow tint,Not present,Sounds of flowing water back of drain,Moderate (11-50 Items),Within area surrounding outfall,,,Clogged,Partial - Significant Distance,33.58531041,-117.6620071,2022-07-06
Mission Viejo,L03-693-1 (L03P11),7/6/2022,Flowing,Yes,Priority,55,NA,0.037,0.011,Above Average Discharge,,,,,,,Yes,,,33.59775734,-117.6557352,2022-07-06
Mission Viejo,L03-693-1 (L03P11),7/6/2022,Flowing,Yes,Priority,55,3574,0.028,NA,Above Average Discharge,Green tint,Not present,Suds/foam,Moderate (11-50 Items),In flow path of outfall,,Yes,,Direct Connection,33.59775734,-117.6557352,2022-07-06
Mission Viejo,L03-693-1 (L03P11),8/23/2022,Flowing,Yes,Priority,55,NA,NA,0.011,Above Average Discharge,,,,,,,Yes,,,33.59775734,-117.6557352,2022-08-23
Mission Viejo,L03-693-1 (L03P11),8/23/2022,Flowing,Yes,Priority,55,4087.3,0.110294,NA,Above Average Discharge,Not present,Not present,Volumetric:1.7 L/5.40 sec,Moderate (11-50 Items),In flow path of outfall,,Yes,Graffiti,Direct Connection,33.59775734,-117.6557352,2022-08-23
Mission Viejo,L04-136-1u (L04P07),6/29/2022,Flowing,Yes,Not A Priority,NA,NA,0.126,NA,Below Average Discharge,Green tint,Not present,,Not Present (0 Items),,,,Overgrown,Partial - Significant Distance,33.6084557,-117.679023,2022-06-29
Mission Viejo,L04-136-1u (L04P07),8/23/2022,Flowing,Yes,Not A Priority,NA,5066,0.226573,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,None,Partial - Significant Distance,33.6084557,-117.679023,2022-08-23
Mission Viejo,L04-266-5,6/14/2022,Flowing,Yes,Priority,96,NA,0.219,NA,Below Average Discharge,,,0.15 ft/sec,,,Yes,Yes,,,33.60731715,-117.6688803,2022-06-14
Mission Viejo,L04-266-5,6/14/2022,Flowing,Yes,Priority,96,3411.8,0.215282,NA,Below Average Discharge,Not present,Not present,Clear water,Sparse (<10 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.60731715,-117.6688803,2022-06-14
Mission Viejo,L04-266-5,8/23/2022,Flowing,Yes,Priority,96,NA,NA,NA,Below Average Discharge,,,,,,Yes,Yes,,,33.60731715,-117.6688803,2022-08-23
Mission Viejo,L04-266-5,8/23/2022,Flowing,Yes,Priority,96,4848,0.319568,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,Yes,Yes,None,Direct Connection,33.60731715,-117.6688803,2022-08-23
Mission Viejo,L04-301-1 (L04P08),6/22/2022,,Yes,Priority,52,NA,NA,NA,Below Average Discharge,Not present,Not present,inaccessible,,,,,,,33.59956672,-117.6743862,2022-06-22
Mission Viejo,L04-672-1,6/29/2022,,Yes,Priority,64,NA,0.106,0.059,Below Average Discharge,,,,,,Yes,,,,33.612238,-117.680662,2022-06-29
Mission Viejo,L04-672-1,6/29/2022,Flowing,Yes,Priority,64,3758,0.109412,NA,Below Average Discharge,Green tint,Not present,5 liters in 3 sec,Sparse (<10 Items),Within area surrounding outfall,Yes,,,Partial - Significant Distance,33.612238,-117.680662,2022-06-29
Mission Viejo,L04-672-1,8/23/2022,Flowing,Yes,Priority,64,NA,NA,0.05,Below Average Discharge,,,,,,Yes,,,,33.612238,-117.680662,2022-08-23
Mission Viejo,L04-672-1,8/23/2022,Flowing,Yes,Priority,64,5223,0.178218,NA,Below Average Discharge,"Brown ""tea"" tint",Not present,Grey and white heron.  Cobwebs,Sparse (<10 Items),In flow path of outfall,Yes,,None,Partial - Significant Distance,33.612238,-117.680662,2022-08-23
Mission Viejo,L04-702-1 (L04P02),8/2/2022,Flowing,Yes,Priority,43,NA,0.057143,NA,20% Or More Above Average Discharge,Not present,Not present,"Channel is backed up into outfall, Mud too thick to access for flow measurements, measurements are estimated, small fish in direct path of outfall, observed from path above",Not Present (0 Items),,,,,Direct Connection,33.58054037,-117.6732684,2022-08-02
Mission Viejo,L04-702-1 (L04P02),9/1/2022,Pooled or Ponded,Yes,Priority,43,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,,,,,,,Direct Connection,33.58054037,-117.6732684,2022-09-01
Mission Viejo,L04-702-4,8/2/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.58274692,-117.6733936,2022-08-02
Mission Viejo,L04-702-4,9/1/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,,,,,,None - Flow Infiltrates or Outfall is Dry,33.58274692,-117.6733936,2022-09-01
Orange Co,J01-9364-3 (J01P21),6/28/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,construction and wood planks,,,,,,Direct Connection,33.54985427,-117.7212902,2022-06-28
Orange Co,J01-9364-3 (J01P21),7/8/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Outfall inaccessible due to overgrown reeds in flow path,Sparse (<10 Items),In flow path of outfall,,,Overgrown,Direct Connection,33.54985427,-117.7212902,2022-07-08
Orange Co,J01-9364-4,6/28/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,,,,,,None - Flow Infiltrates or Outfall is Dry,33.54433919,-117.7272411,2022-06-28
Orange Co,J01-9364-4,8/29/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,,,,,Overgrown,None - Flow Infiltrates or Outfall is Dry,33.54433919,-117.7272411,2022-08-29
Orange Co,L01-242-1 (L07P16),8/8/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Bright green,Not present,Animal foot prints,Moderate (11-50 Items),Within area surrounding outfall,,,Sediment,Direct Connection,33.61466784,-117.5825631,2022-08-08
Orange Co,L01-242-1 (L07P16),9/19/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,Not present,Paw prints in sand. Could be back flow from creek in drain,Moderate (11-50 Items),Within area surrounding outfall,,,Sediment,Direct Connection,33.61466784,-117.5825631,2022-09-19
Orange Co,L01-303-2,8/8/2022,Pooled or Ponded,Yes,Priority,48,NA,NA,NA,Equal,Green tint,Not present,Small fish.  Possible backflow into pipe,Sparse (<10 Items),Within area surrounding outfall,,,Other - See Comments,Direct Connection,33.59293399,-117.5850715,2022-08-08
Orange Co,L01-303-2,9/19/2022,Pooled or Ponded,Yes,Priority,48,NA,NA,NA,Equal,"Brown ""tea"" tint",Not present,Creek possibly back flowing into pipe,Sparse (<10 Items),Within area surrounding outfall,,,Clogged,Direct Connection,33.59293399,-117.5850715,2022-09-19
Orange Co,L01-303-3,8/1/2022,Pooled or Ponded,Yes,,NA,NA,NA,NA,,Not present,Not present,"Path to outfall overgrown with vegetation, stinging nettle in surroundings, receiving water flowing downstream",Moderate (11-50 Items),Within area surrounding outfall,,,Overgrown,Partial - Significant Distance,33.59526175,-117.5840821,2022-08-01
Orange Co,L01-303-3,9/26/2022,Pooled or Ponded,Yes,,NA,NA,NA,NA,,Yellow tint,Not present,,Moderate (11-50 Items),Within area surrounding outfall,,,Clogged,Partial - Significant Distance,33.59526175,-117.5840821,2022-09-26
Orange Co,L01-303-4,8/1/2022,Flowing,Yes,Priority,47,NA,NA,0.019,Below Average Discharge,,,,,,,,,,33.596022,-117.584659,2022-08-01
Orange Co,L01-303-4,8/1/2022,Flowing,Yes,Priority,47,1463,0.068570999999999993,NA,Below Average Discharge,Not present,Not present,Volumetric flow: 2750 mL/5 seconds; path to outfall heavy vegetation on steep slope,Not Present (0 Items),,,,,Direct Connection,33.596022,-117.584659,2022-08-01
Orange Co,L01-303-4,9/26/2022,Flowing,Yes,Priority,47,1952,0.018,NA,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),Within area surrounding outfall,,,,Direct Connection,33.596022,-117.584659,2022-09-26
Orange Co,L01-335-1,6/17/2022,Flowing,Yes,Priority,57,NA,0.007,0.004,20% Or More Above Average Discharge,,,,,,,,,,33.57790461,-117.6128526,2022-06-17
Orange Co,L01-335-1,6/17/2022,Flowing,Yes,Priority,57,837,0.006857,NA,20% Or More Above Average Discharge,Chocolate milk,Not present,Thick reeds.  Mosquitos crawfish,Abundant (>50 Items),In flow path of outfall,,,Clogged,Direct Connection,33.57790461,-117.6128526,2022-06-17
Orange Co,L01-335-1,9/27/2022,Flowing,Yes,Priority,57,NA,NA,0.001,20% Or More Above Average Discharge,,,,,,,,,,33.57790461,-117.6128526,2022-09-27
Orange Co,L01-335-1,9/27/2022,Flowing,Yes,Priority,57,1321,0.018,NA,20% Or More Above Average Discharge,Not present,Not present,.5 liters in 20 seconds,Abundant (>50 Items),Within area surrounding outfall,,,None,Direct Connection,33.57790461,-117.6128526,2022-09-27
Orange Co,L01-335-2,6/17/2022,Pooled or Ponded,Unknown,,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.57739792,-117.6127492,2022-06-17
Orange Co,L01-335-2,9/27/2022,Dry,Unknown,,NA,NA,NA,NA,Equal,Chocolate milk,Not present,Creek backed up into pipe,Abundant (>50 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.57739792,-117.6127492,2022-09-27
Orange Co,L01-340-1,6/16/2022,Flowing,Yes,Priority,39,NA,0.021,0.008,Below Average Discharge,,,Sticks and branches cause ponding. Turbidity: 2.46,,,Yes,Yes,,,33.58696205,-117.5954402,2022-06-16
Orange Co,L01-340-1,6/16/2022,Flowing,Yes,Priority,39,1483,0.017829,NA,Below Average Discharge,"Brown ""tea"" tint",Not present,Sticks and branches in outfall. Turbidity: 2.46,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,Graffiti,Undetermined,33.58696205,-117.5954402,2022-06-16
Orange Co,L01-340-1,8/24/2022,Flowing,Yes,Priority,39,1768.6,0.001809,NA,Below Average Discharge,"Brown ""tea"" tint",Not present,,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,Graffiti,Undetermined,33.58696205,-117.5954402,2022-08-24
Orange Co,L01-391-1,8/1/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Debris in rw blocking flow. Ds of bridge,Moderate (11-50 Items),In flow path of outfall,,,,Direct Connection,33.57606988,-117.5859165,2022-08-01
Orange Co,L01-391-1,9/19/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,Clogged,Direct Connection,33.57606988,-117.5859165,2022-09-19
Orange Co,L01-391-3,8/1/2022,Flowing,Yes,Not A Priority,NA,1350,0.011667,NA,20% Or More Above Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,Sediment,Direct Connection,33.57839188,-117.5868252,2022-08-01
